ID,Fuente,Petición (Tiempo),Método,URL,Código,Razón,RTT,Respuesta (Tamaño del cuerpo),Alerta mayor,Nota,Etiquetas
1,Proxy,Mon Jun 22 10:33:34 PET 2026,GET,http://clients2.google.com/time/1/current?cup2key=10:5S26IruvVHGKs-V5AAEsmUPbA_Ob50L1OaVqFI9tq7k&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,200,OK,105,79,,false,JSON
5,Proxy,Mon Jun 22 10:33:34 PET 2026,GET,https://www.google.com/async/folae?async=_fmt:pb&udm=50&client_locale=es-419,200,OK,214,399,,false,
8,Proxy,Mon Jun 22 10:33:35 PET 2026,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard&laf=b64bin,200,OK,329,0,,false,
10,Proxy,Mon Jun 22 10:33:35 PET 2026,GET,https://facturacion-web-gold.vercel.app/,200,OK,354,437,Medio,false,Script
12,Proxy,Mon Jun 22 10:33:35 PET 2026,GET,https://facturacion-web-gold.vercel.app/assets/index-BfCxFwFw.css,200,OK,184,116240,,false,
14,Proxy,Mon Jun 22 10:33:36 PET 2026,GET,https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500;600&display=swap,200,OK,238,17342,Medio,false,Comment
16,Proxy,Mon Jun 22 10:33:36 PET 2026,POST,https://android.clients.google.com/checkin,200,OK,272,496,Bajo,false,
18,Proxy,Mon Jun 22 10:33:35 PET 2026,GET,https://facturacion-web-gold.vercel.app/assets/index-jAPwrUIc.js,200,OK,1376,1506269,Medio,false,"Form,Script,Comment"
19,Proxy,Mon Jun 22 10:33:37 PET 2026,POST,https://android.clients.google.com/c2dm/register3,200,OK,371,30,,false,
21,Proxy,Mon Jun 22 10:33:37 PET 2026,POST,https://android.clients.google.com/c2dm/register3,200,OK,376,30,,false,
22,Proxy,Mon Jun 22 10:33:37 PET 2026,POST,https://android.clients.google.com/c2dm/register3,200,OK,383,30,,false,
